screen size,,lines file name,,pay table symbols,,wilds,multiplier,,bonus symbols,,scatters,value,,mutators,,special symbols,index,pay table symbol,wild,multiplier,scatter,value,bonus,trigger,special trigger,blank,mutator,jackpot symbol,,,pay table,pay table,pay table,pay table,pay table,,mutator values,weights rp1,weights rp2,weights rp3,weights rp4,weights rp5,weights rp6,weights rp7,,required sc,,reels 0 weighted,,reels 0,reels 0,reels 0,reels 0,reels 0,weights,weights,weights,weights,weights,,reels 1 weighted,,reels 1,reels 1,reels 1,reels 1,reels 1,weights,weights,weights,weights,weights,,reels 2 weighted,,reels 2,reels 2,reels 2,reels 2,reels 2,weights,weights,weights,weights,weights,,reels 3 weighted,,reels 3,reels 3,reels 3,reels 3,reels 3,weights,weights,weights,weights,weights,,reels 4 weighted,,reels 4,reels 4,reels 4,reels 4,reels 4,weights,weights,weights,weights,weights,,game
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,,,F10,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,,,M1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,,,F7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,,,M3,,,,,,,,,,,
